APDN Applied-DNA-Sciences
APEI American-Public-Education
APEN Apollo-Endosurgery
APEX Apex-Global-Brands-
APHA Aphria-
API Agora
APLS Apellis-Pharmaceuticals
APLT Applied-Therapeutics
APM Aptorum-Group
APOG Apogee-Enterprises
APOP Cellect-Biotechnology-
APOPW Cellect-Biotechnology-
APPF AppFolio
APPN Appian-
APPS Digital-Turbine
APRE Aprea-Therapeutics
APTO Aptose-Biosciences
APTX Aptinyx-
APVO Aptevo-Therapeutics-
APWC Asia-Pacific-Wire--
APYX Apyx-Medical-
AQB AquaBounty-Technologies
AQMS Aqua-Metals
AQST Aquestive-Therapeutics
ARAV Aravive
ARAY Accuray-Incorporated-
ARCB ArcBest-
ARCC Ares-Capital-
ARCE Arco-Platform
ARCT Arcturus-Therapeutics-Holdings-
ARDS Aridis-Pharmaceuticals-
ARDX Ardelyx
AREC American-Resources-
ARGX argenx-SE-
ARKR Ark-Restaurants-
ARLP Alliance-Resource-Partners
ARNA Arena-Pharmaceuticals
AROW Arrow-Financial-
ARPO Aerpio-Pharmaceuticals
ARQT Arcutis-Biotherapeutics
ARTL Artelo-Biosciences
ARTLW Artelo-Biosciences
ARTNA Artesian-Resources-
ARTW Art's
ARVN Arvinas
ARWR Arrowhead-Pharmaceuticals
ASLN ASLAN-Pharmaceuticals
ASMB Assembly-Biosciences
ASML ASML-Holding-N.V.-
ASND Ascendis-Pharma-A/S-
ASPS Altisource-Portfolio-Solutions-S.A.-
ASPU Aspen-Group-
ASRT Assertio-Holdings
ASRV AmeriServ-Financial-
ASRVP AmeriServ-Financial-
ASTC Astrotech-
ASTE Astec-Industries
ASUR Asure-Software-
ASYS Amtech-Systems
ATAX America-First-Multifamily-Investors
ATCX Atlas-Technical-Consultants
ATCXW Atlas-Technical-Consultants
ATEC Alphatec-Holdings
ATEX Anterix-
ATHA Athira-Pharma
ATHE Alterity-Therapeutics
ATHX Athersys
ATIF ATIF-Holdings
ATLC Atlanticus-Holdings-
ATLO Ames-National-
ATNI ATN-International
ATNX Athenex
ATOM Atomera-Incorporated-
ATOS Atossa-Therapeutics
ATRA Atara-Biotherapeutics
ATRC AtriCure
ATRI Atrion-
ATRO Astronics-
ATRS Antares-Pharma
ATSG Air-Transport-Services-Group
ATVI Activision-Blizzard
ATXI Avenue-Therapeutics
AUB Atlantic-Union-Bankshares-
AUBAP Atlantic-Union-Bankshares-
AUBN Auburn-National-Bancorporation
AUDC AudioCodes-
AUPH Aurinia-Pharmaceuticals-
AUTL Autolus-Therapeutics-plc-
AUTO AutoWeb
AUVI Applied-UV
AVAV AeroVironment
AVCO Avalon-GloboCare-
AVCT American-Virtual-Cloud-Technologies
AVCTW American-Virtual-Cloud-Technologies
AVDL Avadel-Pharmaceuticals-plc-
AVEO AVEO-Pharmaceuticals
AVGO Broadcom-
AVGOP Broadcom-
AVGR Avinger
AVID Avid-Technology
AVNW Aviat-Networks
AVRO AVROBIO
AVT Avnet
AVXL Anavex-Life-Sciences-
AWH Aspira-Women's-Health-
AWRE Aware
AXAS Abraxas-Petroleum-
AXDX Accelerate-Diagnostics
AXGN Axogen
AXGT Axovant-Gene-Therapies-
AXLA Axcella-Health-
AXNX Axonics-Modulation-Technologies
AXSM Axsome-Therapeutics
AXTI AXT-
AY Atlantica-Sustainable-Infrastructure-plc-
AYLA Ayala-Pharmaceuticals
AYRO AYRO
AYTU Aytu-BioScience
AZPN Aspen-Technology
AZRX AzurRx-BioPharma
BAND Bandwidth-
BANF BancFirst-
BANFP BancFirst-
BANR Banner-
BANX StoneCastle-Financial-
BASI Bioanalytical-Systems
BATRA Liberty-Media-
BATRK Liberty-Media-
BBBY Bed-Bath-&-Beyond-
BBCP Concrete-Pumping-Holdings
BBGI Beasley-Broadcast-Group
BBI Brickell-Biotech
BBIO BridgeBio-Pharma
BBQ BBQ-Holdings
BBSI Barrett-Business-Services
BCBP BCB-Bancorp
BCDA BioCardia
BCDAW BioCardia
BCEL Atreca
BCLI Brainstorm-Cell-Therapeutics-
BCML BayCom-
BCOR Blucora
BCOV Brightcove-
BCOW 1895-Bancorp-of-Wisconsin
BCPC Balchem-
BCRX BioCryst-Pharmaceuticals
BCYC Bicycle-Therapeutics-plc-
BDGE Bridge-Bancorp
BDSI BioDelivery-Sciences-International
BDTX Black-Diamond-Therapeutics
BEAM Beam-Therapeutics-
BEAT BioTelemetry
BECN Beacon-Roofing-Supply
BEEM Beam-Global-
BEEMW Beam-Global-
BELFA Bel-Fuse-
BELFB Bel-Fuse-
BFC Bank-First-
BFIN BankFinancial-
BFRA Biofrontera-AG-
BFST Business-First-Bancshares
BGCP BGC-Partners
BGFV Big-5-Sporting-Goods-
BGNE BeiGene
BHAT Blue-Hat-Interactive-Entertainment-Technology-
BHF Brighthouse-Financial
BHFAL Brighthouse-Financial
BHFAO Brighthouse-Financial
BHFAP Brighthouse-Financial
BHTG BioHiTech-Global
BIDU Baidu
BIGC BigCommerce-Holdings
BIIB Biogen-
BILI Bilibili-
BIMI BOQI-International-Medical-
BIOC Biocept
BIOL Biolase
BIVI BioVie-
BJRI BJ's-Restaurants
BKCC BlackRock-Capital-Investment-
BKEP Blueknight-Energy-Partners-
BKEPP Blueknight-Energy-Partners-
BKNG Booking-Holdings-
BKSC Bank-of-South-Carolina-
BKYI BIO
BL BlackLine
BLBD Blue-Bird-
BLCM Bellicum-Pharmaceuticals
BLCT BlueCity-Holdings
BLDP Ballard-Power-Systems
BLDR Builders-FirstSource
BLFS BioLife-Solutions
BLI Berkeley-Lights
BLIN Bridgeline-Digital
BLKB Blackbaud
BLMN Bloomin'-Brands
BLNK Blink-Charging-Co.-
BLNKW Blink-Charging-Co.-
BLPH Bellerophon-Therapeutics
BLRX BioLineRx-
BLU BELLUS-Health-
BLUE bluebird-bio
BMCH BMC-Stock-Holdings
BMRA Biomerica
BMRC Bank-of-Marin-Bancorp-
BMRN BioMarin-Pharmaceutical-
BMTC Bryn-Mawr-Bank-
BNFT Benefitfocus
BNGO Bionano-Genomics
BNGOW Bionano-Genomics
BNR Burning-Rock-Biotech
BNSO Bonso-Electronics-International
BNTC Benitec-Biopharma-
BNTX BioNTech-SE-
BOCH Bank-of-Commerce-Holdings-
BOKF BOK-Financial-
BOKFL BOK-Financial-
BOMN Boston-Omaha-
BOOM DMC-Global-
BOSC B.O.S.-Better-Online-Solutions-
BOTJ Bank-of-the-James-Financial-Group
BOXL Boxlight-
BPFH Boston-Private-Financial-Holdings
BPMC Blueprint-Medicines-
BPOP Popular
BPOPM Popular
BPOPN Popular
BPRN The-Bank-of-Princeton-
BPTH Bio
BPY Brookfield-Property-Partners-
BPYPN Brookfield-Property-Partners-
BPYPO Brookfield-Property-Partners-
BPYPP Brookfield-Property-Partners-
BPYU Brookfield-Property-REIT-
